FromWard,ToWard,Probability
19100001,19100098,0.00000000000000E+00
19100001,19100099,2.73718829675883E-08
19100001,19100100,5.16771495518681E-06
19100001,19100101,2.07770003761813E-03
19100001,19100102,5.01044990582017E-03
19100001,19100103,4.34038834677522E-02
19100001,19100104,4.15673065412636E-02
19100001,19100105,4.02354356468325E-02
19100001,19100106,1.53308287268640E-03
19100001,19100107,5.29377299025991E-03
19100001,19100108,2.24515212905947E-06
19100001,19100109,5.01349335340164E-06
19100001,19100110,7.07043522210116E-04
19100001,19100111,5.36853723523005E-04
19100001,19100112,4.25139232692306E-02
19100001,19100113,4.27080917712534E-02
19100001,19100114,1.39018350332938E-06
19100001,19100115,3.82048575592952E-03
19100001,19100116,2.03374848008190E-08
19100002,19100001,3.26053872387606E-02
19100002,19100002,2.86335145680936E-01
19100002,19100003,3.13362726456596E-02
19100002,19100004,6.98230020508724E-04
19100002,19100005,3.24980881007789E-02
19100002,19100006,1.42508807843623E-04
19100002,19100007,1.07268984174521E-04
19100002,19100008,3.14035399082908E-02
19100002,19100009,3.13365648818961E-02
19100002,19100010,3.13365057052761E-02
19100002,19100011,2.12302789532774E-09
19100002,19100012,3.13367692669581E-02
19100002,19100013,3.18481120844362E-02
19100002,19100014,2.96260580927651E-05
19100002,19100015,2.43524633887090E-05
19100002,19100016,8.82832166808928E-05
19100002,19100017,8.44465633937603E-05
19100002,19100018,7.72944299082579E-06
19100002,19100019,3.13947884772290E-02
19100002,19100020,2.25264028112374E-04
19100002,19100021,3.28527149338565E-02
19100002,19100022,3.13365241161025E-02
19100002,19100023,6.08025246638649E-04
19100002,19100024,3.23469337534221E-02
19100002,19100025,3.13380871584960E-02
19100002,19100026,3.13369617534619E-02
19100002,19100027,3.13414794246414E-02
19100002,19100028,3.25105386808932E-02
19100002,19100029,7.74185970997753E-04
19100002,19100030,3.21503866742223E-02
19100002,19100031,1.18405709357974E-03
19100002,19100032,9.21383878664631E-04
19100002,19100033,3.63272665892403E-05
19100002,19100034,3.33852227951722E-05
19100002,19100035,5.28400120958117E-05
19100002,19100036,6.43906919110721E-05
19100002,19100037,2.08124320739368E-05
19100002,19100038,2.21338568942773E-05
19100002,19100039,3.62787454164719E-05
19100002,19100040,5.20154856020538E-05
19100002,19100041,2.34562296894552E-05
19100002,19100042,3.46879541582878E-04
19100002,19100043,3.63604327986831E-04
19100002,19100044,7.48172675259445E-04
19100002,19100045,5.34568535199623E-04
19100002,19100046,7.32267793190021E-04
19100002,19100047,8.54381251638386E-04
19100002,19100048,5.97066686122937E-04
19100002,19100049,8.74254013231651E-04
19100002,19100050,1.10526587684272E-03
19100002,19100051,2.61756124187035E-03
19100002,19100052,2.29964442537587E-03
19100002,19100053,3.37843833373905E-02
19100002,19100054,3.05161758290837E-04
19100002,19100055,1.83805070326706E-03
19100002,19100056,3.47507333010791E-02
19100002,19100057,1.48447570247346E-03
19100002,19100058,6.43702295034363E-04
19100002,19100059,4.18913210284148E-04
19100002,19100060,7.80894108612356E-04
19100002,19100061,0.00000000000000E+00
19100002,19100062,4.95346758346566E-04
19100002,19100063,3.73358865011741E-04
19100002,19100064,9.32490876013832E-05
19100002,19100065,3.02265692826756E-04
19100002,19100066,2.97922875817732E-04
19100002,19100067,4.66986051522834E-04
19100002,19100068,2.52630316457197E-04
19100002,19100069,7.71694553836286E-07
19100002,19100070,3.30639402725292E-02
19100002,19100071,9.83239249637094E-05
19100002,19100072,5.16571832933165E-04
19100002,19100073,6.05175252635697E-04
19100002,19100074,4.05661046176030E-04
19100002,19100075,3.51025816195974E-05
19100002,19100076,3.26912542558142E-05
19100002,19100077,2.71400280946466E-04
19100002,19100078,3.20408741835924E-05
19100002,19100079,4.07911833475392E-05
19100002,19100080,3.36783533114549E-05
19100002,19100081,1.02652453124691E-04
19100002,19100082,3.88216915016380E-05
19100002,19100083,7.42235108923528E-05
19100002,19100084,8.31662067092578E-06
19100002,19100085,9.97002719130262E-05
19100002,19100086,1.17058669593995E-04
19100002,19100087,1.20438475278759E-06
19100002,19100088,4.10656596442238E-05
19100002,19100089,2.61421970684012E-06
19100002,19100090,0.00000000000000E+00
19100002,19100091,0.00000000000000E+00
19100002,19100092,0.00000000000000E+00
19100002,19100093,1.11456102747806E-06
19100002,19100094,0.00000000000000E+00
19100002,19100095,7.75604389444643E-05
19100002,19100096,1.09694661750685E-06
19100002,19100097,0.00000000000000E+00
19100002,19100098,0.00000000000000E+00
19100002,19100099,1.34727183845964E-05
19100002,19100100,1.02385557524473E-04
19100002,19100101,5.83550186926907E-04
19100002,19100102,3.26879916823591E-02
19100002,19100103,1.79022334821134E-03
19100002,19100104,1.16650985683111E-03
19100002,19100105,1.83380802449849E-03
19100002,19100106,1.23477896568375E-03
19100002,19100107,5.18152762522033E-04
19100002,19100108,8.63237497400559E-05
19100002,19100109,9.93310618129251E-05
19100002,19100110,2.66808741247680E-04
19100002,19100111,1.46424562135367E-04
19100002,19100112,1.52818904035832E-03
19100002,19100113,5.79497057491460E-04
19100002,19100114,5.34511008322773E-05
19100002,19100115,2.35062273755058E-03
19100002,19100116,1.33561072475851E-05
19100003,19100001,3.25895982617262E-02
19100003,19100002,3.13360784154440E-02
19100003,19100003,2.86348312284957E-01
19100003,19100004,6.91704352312761E-04
19100003,19100005,3.24909158657474E-02
19100003,19100006,1.60022041255665E-04
19100003,19100007,1.27149489520969E-04
19100003,19100008,3.14222249049780E-02
19100003,19100009,3.13376400044883E-02
19100003,19100010,3.13354100503849E-02
19100003,19100011,2.16169473080949E-06
19100003,19100012,3.13378831064811E-02
19100003,19100013,3.18488866045523E-02
19100003,19100014,3.18431809623368E-05
19100003,19100015,2.43832639270982E-05
19100003,19100016,8.84547105518206E-05
19100003,19100017,8.67701874432030E-05
19100003,19100018,7.81513741183861E-06
19100003,19100019,3.13956420203091E-02
19100003,19100020,2.25382213335625E-04
19100003,19100021,3.28477080728535E-02
19100003,19100022,3.13354319487984E-02
19100003,19100023,6.01650048325300E-04
19100003,19100024,3.23452804451530E-02
19100003,19100025,3.13370947316040E-02
19100003,19100026,3.13359523984084E-02
19100003,19100027,3.13349702745577E-02
19100003,19100028,3.25088500096703E-02
19100003,19100029,7.72812726552825E-04
19100003,19100030,3.21488991712224E-02
19100003,19100031,1.18378517738858E-03
19100003,19100032,9.14511300481655E-04
19100003,19100033,3.63255263326064E-05
19100003,19100034,3.33837070976688E-05
19100003,19100035,5.28354933582081E-05
19100003,19100036,6.43811564652195E-05
19100003,19100037,2.08114871842912E-05
19100003,19100038,2.21328520116129E-05
19100003,19100039,3.62754026602864E-05
19100003,19100040,5.20095032377407E-05
19100003,19100041,2.34551647707336E-05
19100003,19100042,3.46810758330130E-04
19100003,19100043,3.63432328836268E-04
19100003,19100044,7.48022191862397E-04
19100003,19100045,5.34461885510187E-04
19100003,19100046,7.32118974428264E-04
19100003,19100047,8.54207506658593E-04
19100003,19100048,5.96945312884070E-04
19100003,19100049,8.74080383365825E-04
19100003,19100050,1.10501205488677E-03
19100003,19100051,2.61718506714161E-03
19100003,19100052,2.29930929083156E-03
19100003,19100053,3.37826074678664E-02
19100003,19100054,3.05072674514164E-04
19100003,19100055,1.83724609359845E-03
19100003,19100056,3.47435127860092E-02
19100003,19100057,1.48422705900705E-03
19100003,19100058,6.43564265870995E-04
19100003,19100059,4.18819803512526E-04
19100003,19100060,7.80735145363415E-04
19100003,19100061,0.00000000000000E+00
19100003,19100062,4.95238875576298E-04
19100003,19100063,3.73214598445138E-04
19100003,19100064,9.32049459046222E-05
19100003,19100065,3.02122608096415E-04
19100003,19100066,2.97781846864196E-04
19100003,19100067,4.66764992451821E-04
19100003,19100068,2.52510727825194E-04
19100003,19100069,7.71449247523299E-07
19100003,19100070,3.30541356645657E-02
19100003,19100071,9.83027952529515E-05
19100003,19100072,5.16437122233290E-04
19100003,19100073,6.05045003435563E-04
19100003,19100074,4.05532101233871E-04
19100003,19100075,3.51007465396961E-05
19100003,19100076,3.26897700646569E-05
19100003,19100077,2.71314180853486E-04
19100003,19100078,3.20394124373032E-05
19100003,19100079,4.07893344932913E-05
19100003,19100080,3.36768243057525E-05
19100003,19100081,1.02616420407151E-04
19100003,19100082,3.88199287280579E-05
19100003,19100083,7.42095831367070E-05
19100003,19100084,8.39291225864401E-06
19100003,19100085,9.96815635414019E-05
19100003,19100086,1.17036703985972E-04
19100003,19100087,1.28784499860497E-06
19100003,19100088,4.10637952529576E-05
19100003,19100089,2.71776418104730E-06
19100003,19100090,7.03529635681588E-08
19100003,19100091,1.02356660855750E-07
19100003,19100092,9.49439024012007E-08
19100003,19100093,1.22709745424952E-06
19100003,19100094,1.00265509612621E-07
19100003,19100095,7.75918594396591E-05
19100003,19100096,1.19893690934182E-06
19100003,19100097,8.83226305768556E-08
19100003,19100098,1.06582359866023E-07
19100003,19100099,1.35611176569971E-05
19100003,19100100,1.02366784367081E-04
19100003,19100101,5.94097471344642E-04
19100003,19100102,3.27004940378191E-02
19100003,19100103,1.78222110716681E-03
19100003,19100104,1.16012305110194E-03
19100003,19100105,1.84046520912410E-03
19100003,19100106,1.23458227851561E-03
19100003,19100107,5.17233667589532E-04
19100003,19100108,8.64914530683584E-05
19100003,19100109,9.93124272949536E-05
19100003,19100110,2.66694806414560E-04
19100003,19100111,1.55347094199430E-04
19100003,19100112,1.51931284610462E-03
19100003,19100113,5.73177305209461E-04
19100003,19100114,5.35549416355093E-05
19100003,19100115,2.35026682722994E-03
19100003,19100116,1.34119008771773E-05
19100004,19100001,1.91074132990253E-04
19100004,19100002,1.11901341592442E-03
19100004,19100003,8.06804936052991E-04
19100004,19100004,3.53149165675982E-01
19100004,19100005,1.83019911588041E-04
19100004,19100006,0.00000000000000E+00
19100004,19100007,0.00000000000000E+00
19100004,19100008,3.58745867006742E-07
19100004,19100009,9.90064261974747E-04
19100004,19100010,9.57244105065202E-04
19100004,19100011,0.00000000000000E+00
19100004,19100012,1.10341899230612E-03
19100004,19100013,5.00120187695531E-04
19100004,19100014,0.00000000000000E+00
19100004,19100015,0.00000000000000E+00
19100004,19100016,0.00000000000000E+00
19100004,19100017,0.00000000000000E+00
19100004,19100018,0.00000000000000E+00
19100004,19100019,5.57567623775358E-09
19100004,19100020,1.58561434612760E-04
19100004,19100021,1.10981047694434E-03
19100004,19100022,9.67454999379278E-04
19100004,19100023,6.35384519953695E-02
19100004,19100024,1.09543251790269E-03
19100004,19100025,1.26128557063173E-03
19100004,19100026,1.20991204064946E-03
19100004,19100027,8.24507621461374E-04
19100004,19100028,1.27934348618388E-03
19100004,19100029,6.33661244487689E-02
19100004,19100030,1.23694195178196E-03
19100004,19100031,1.27677426730540E-03
19100004,19100032,6.35519978796125E-02
19100004,19100033,1.23221876896713E-07
19100004,19100034,0.00000000000000E+00
19100004,19100035,1.66981700075574E-05
19100004,19100036,3.86971067046025E-05
19100004,19100037,0.00000000000000E+00
19100004,19100038,0.00000000000000E+00
19100004,19100039,9.92399572788351E-06
19100004,19100040,2.11909246760004E-05
19100004,19100041,0.00000000000000E+00
19100004,19100042,8.18955404781527E-05
19100004,19100043,1.99274064758376E-04
19100004,19100044,2.05220124981545E-04
19100004,19100045,1.27210096205219E-04
19100004,19100046,1.78466929855017E-04
19100004,19100047,2.08369949997755E-04
19100004,19100048,1.45564448436583E-04
19100004,19100049,3.65854354442291E-04
19100004,19100050,1.19181333208953E-03
19100004,19100051,6.46440820946599E-03
19100004,19100052,5.61679545460553E-03
19100004,19100053,5.99800369120340E-03
19100004,19100054,2.34316004408348E-04
19100004,19100055,6.70813757814515E-02
19100004,19100056,7.19701460832556E-02
19100004,19100057,3.38389273238549E-03
19100004,19100058,1.89969317486128E-03
19100004,19100059,1.16216526799460E-03
19100004,19100060,1.92438774835017E-04
19100004,19100061,0.00000000000000E+00
19100004,19100062,1.44890029581604E-03
19100004,19100063,5.13775729634000E-04
19100004,19100064,5.11406053348899E-05
19100004,19100065,1.65771600567392E-04
19100004,19100066,1.63389869052231E-04
19100004,19100067,2.56109201410283E-04
19100004,19100068,1.38550066728741E-04
19100004,19100069,9.64890148825007E-09
19100004,19100070,1.40209783189290E-03
19100004,19100071,2.95904376546494E-04
19100004,19100072,1.33057002302443E-03
19100004,19100073,1.82167760630422E-03
19100004,19100074,5.26473202161390E-06
19100004,19100075,3.09361550943402E-07
19100004,19100076,0.00000000000000E+00
19100004,19100077,6.27043223589541E-06
19100004,19100078,9.07598549680421E-09
19100004,19100079,0.00000000000000E+00
19100004,19100080,0.00000000000000E+00
19100004,19100081,4.02022219660334E-05
19100004,19100082,3.31937716817766E-10
19100004,19100083,0.00000000000000E+00
19100004,19100084,0.00000000000000E+00
19100004,19100085,0.00000000000000E+00
19100004,19100086,0.00000000000000E+00
19100004,19100087,0.00000000000000E+00
19100004,19100088,0.00000000000000E+00
19100004,19100089,0.00000000000000E+00
19100004,19100090,0.00000000000000E+00
19100004,19100091,0.00000000000000E+00
19100004,19100092,0.00000000000000E+00
19100004,19100093,0.00000000000000E+00
19100004,19100094,0.00000000000000E+00
19100004,19100095,0.00000000000000E+00
19100004,19100096,0.00000000000000E+00
19100004,19100097,0.00000000000000E+00
19100004,19100098,0.00000000000000E+00
19100004,19100099,0.00000000000000E+00
19100004,19100100,0.00000000000000E+00
19100004,19100101,3.33322906940263E-04
19100004,19100102,9.60243579119692E-04
19100004,19100103,1.47955132003272E-03
19100004,19100104,6.35311779367043E-02
19100004,19100105,6.40892472438275E-02
19100004,19100106,1.28834442653873E-03
19100004,19100107,6.33533415589366E-02
19100004,19100108,0.00000000000000E+00
19100004,19100109,0.00000000000000E+00
19100004,19100110,2.64244841417727E-04
19100004,19100111,6.05957651799570E-07
19100004,19100112,1.28814349004936E-03
19100004,19100113,6.35368537639562E-02
19100004,19100114,0.00000000000000E+00
19100004,19100115,5.56454389748371E-03
19100004,19100116,0.00000000000000E+00
19100005,19100001,3.72952524059852E-02
19100005,19100002,4.22389015115683E-02
19100005,19100003,4.43191458583514E-03
19100005,19100004,4.41357287596991E-02
19100005,19100005,3.25933109358370E-01
19100005,19100006,6.06097352979164E-07
19100005,19100007,4.56220554706229E-07
19100005,19100008,1.36281259462193E-04
19100005,19100009,5.40813384085814E-03
19100005,19100010,5.23330140437657E-03
19100005,19100011,9.08024445525323E-12
19100005,19100012,6.01197262643020E-03
19100005,19100013,8.15280271572484E-04
19100005,19100014,1.26711406062949E-07
19100005,19100015,1.04110964455930E-07
19100005,19100016,3.77589555306336E-07
19100005,19100017,3.61180105409312E-07
19100005,19100018,3.30591477918060E-08
19100005,19100019,1.34364148704795E-04
19100005,19100020,1.89557800222125E-04
19100005,19100021,5.33434095660514E-03
19100005,19100022,5.28769467057898E-03
19100005,19100023,4.32817334421782E-02
19100005,19100024,1.45875633749219E-03
19100005,19100025,6.84831083314172E-03
19100005,19100026,6.57925723041817E-03
19100005,19100027,4.06702604174515E-02
19100005,19100028,1.70851456661199E-03
19100005,19100029,7.93225054111291E-03
19100005,19100030,3.08935441444049E-03
19100005,19100031,1.52367058668244E-03
19100005,19100032,4.60617912622620E-02
19100005,19100033,7.31660791722702E-07
19100005,19100034,1.42851389792349E-07
19100005,19100035,2.00870143713332E-05
19100005,19100036,4.63021265554089E-05
19100005,19100037,8.90539166073999E-08
19100005,19100038,9.47081359382066E-08
19100005,19100039,1.19589016107476E-05
19100005,19100040,2.54272004929701E-05
19100005,19100041,1.00366411540371E-07
19100005,19100042,3.84451184431044E-04
19100005,19100043,9.33418406990960E-04
19100005,19100044,8.51640028417444E-04
19100005,19100045,5.97158083019133E-04
19100005,19100046,8.37695602405019E-04
19100005,19100047,9.78053170862858E-04
19100005,19100048,6.83255696306136E-04
19100005,19100049,1.03036648883145E-03
19100005,19100050,1.42228032426851E-03
19100005,19100051,4.13649394743958E-03
19100005,19100052,3.62057706995380E-03
19100005,19100053,3.99555771018992E-03
19100005,19100054,8.23291922638076E-04
19100005,19100055,5.78421583486434E-03
19100005,19100056,4.26958457181703E-02
19100005,19100057,2.70135824993862E-03
19100005,19100058,1.95434946800840E-03
19100005,19100059,1.27340691998159E-03
19100005,19100060,8.95713124968609E-04
19100005,19100061,0.00000000000000E+00
19100005,19100062,1.51847619243130E-03
19100005,19100063,1.02294938394172E-03
19100005,19100064,2.39547116020897E-04
19100005,19100065,7.76488830627805E-04
19100005,19100066,7.65332589674912E-04
19100005,19100067,1.19963813847141E-03
19100005,19100068,6.48980759848961E-04
19100005,19100069,1.98261719718396E-06
19100005,19100070,4.29609950045918E-02
19100005,19100071,3.02824839987402E-04
19100005,19100072,1.54436736695261E-03
19100005,19100073,1.86381929661314E-03
19100005,19100074,1.04224641915245E-03
19100005,19100075,1.59686295919211E-06
19100005,19100076,1.39881981113315E-07
19100005,19100077,6.96607086231404E-04
19100005,19100078,1.79540989316403E-07
19100005,19100079,1.74540612420689E-07
19100005,19100080,1.44105660338885E-07
19100005,19100081,1.88436339141790E-04
19100005,19100082,1.67665627330060E-07
19100005,19100083,3.17318259798347E-07
19100005,19100084,3.55549820666463E-08
19100005,19100085,4.26235789772146E-07
19100005,19100086,5.00445921828567E-07
19100005,19100087,5.15118430500075E-09
19100005,19100088,1.75715063784605E-07
19100005,19100089,1.11810843607329E-08
19100005,19100090,0.00000000000000E+00
19100005,19100091,0.00000000000000E+00
19100005,19100092,0.00000000000000E+00
19100005,19100093,4.76700594093545E-09
19100005,19100094,0.00000000000000E+00
19100005,19100095,3.31584200466446E-07
19100005,19100096,4.69159345416822E-09
19100005,19100097,0.00000000000000E+00
19100005,19100098,0.00000000000000E+00
19100005,19100099,5.76476368590777E-08
19100005,19100100,4.37715847061833E-07
19100005,19100101,1.56117059508089E-03
19100005,19100102,4.63030986280087E-03
19100005,19100103,4.31881581521327E-02
19100005,19100104,4.17919672149758E-02
19100005,19100105,3.99711359837507E-02
19100005,19100106,1.53764917277638E-03
19100005,19100107,5.30895377191803E-03
19100005,19100108,3.69208879289269E-07
19100005,19100109,4.24657357091661E-07
19100005,19100110,7.09876406415702E-04
19100005,19100111,3.41971734943986E-06
19100005,19100112,4.22919589560125E-02
19100005,19100113,4.29537602746077E-02
19100005,19100114,2.28611721507570E-07
19100005,19100115,3.82729663215757E-03
19100005,19100116,5.71491912526371E-08
19100006,19100001,6.10831020605751E-04
19100006,19100002,5.63159762595906E-03
19100006,19100003,6.80934110062278E-02
19100006,19100004,8.57840949543797E-04
19100006,19100005,4.25989830291156E-04
19100006,19100006,3.53915662650602E-01
19100006,19100007,6.32530120481928E-02
19100006,19100008,6.32551643319026E-02
19100006,19100009,5.93985709296100E-03
19100006,19100010,5.74295367032617E-03
19100006,19100011,5.30366357022295E-09
19100006,19100012,6.61992496818812E-03
19100006,19100013,3.85429200749449E-04
19100006,19100014,7.40106361210346E-05
19100006,19100015,6.08099850358373E-05
19100006,19100016,2.20545600819846E-04
19100006,19100017,2.10961034891569E-04
19100006,19100018,1.94693399223001E-04
19100006,19100019,1.49944860190934E-04
19100006,19100020,2.26015307762345E-04
19100006,19100021,1.91396419554654E-02
19100006,19100022,5.80421358581485E-03
19100006,19100023,7.51461713465793E-04
19100006,19100024,2.36314200439635E-04
19100006,19100025,7.56055835288854E-03
19100006,19100026,7.25882344408646E-03
19100006,19100027,3.86141596535900E-03
19100006,19100028,3.14031277603668E-04
19100006,19100029,9.65394726286953E-04
19100006,19100030,2.31696049057479E-03
19100006,19100031,2.46531979929596E-04
19100006,19100032,1.10479025047571E-03
19100006,19100033,4.43245008819470E-08
19100006,19100034,0.00000000000000E+00
19100006,19100035,4.14578284851004E-06
19100006,19100036,7.47201332116962E-06
19100006,19100037,0.00000000000000E+00
19100006,19100038,0.00000000000000E+00
19100006,19100039,1.91622151092646E-06
19100006,19100040,4.09174961517587E-06
19100006,19100041,0.00000000000000E+00
19100006,19100042,9.32569510122677E-05
19100006,19100043,1.23554838100029E-07
19100006,19100044,2.08333336402332E-04
19100006,19100045,1.44858018407495E-04
19100006,19100046,2.03225739003934E-04
19100006,19100047,2.37128822144266E-04
19100006,19100048,1.65758679382543E-04
19100006,19100049,2.69668604011598E-04
19100006,19100050,2.30126897126947E-04
19100006,19100051,1.75452335274886E-03
19100006,19100052,1.51716647731406E-03
19100006,19100053,1.63392808819591E-03
19100006,19100054,1.53358756119203E-04
19100006,19100055,1.42690330477681E-03
19100006,19100056,2.33093887801189E-03
19100006,19100057,1.08842757356189E-03
19100006,19100058,1.26040563543078E-03
19100006,19100059,7.69738091580323E-04
19100006,19100060,2.17287327085724E-04
19100006,19100061,0.00000000000000E+00
19100006,19100062,9.59875560496413E-04
19100006,19100063,2.50379676498831E-04
19100006,19100064,0.00000000000000E+00
19100006,19100065,0.00000000000000E+00
19100006,19100066,0.00000000000000E+00
19100006,19100067,0.00000000000000E+00
19100006,19100068,0.00000000000000E+00
19100006,19100069,0.00000000000000E+00
19100006,19100070,2.11333457657300E-02
19100006,19100071,1.96054171903289E-04
19100006,19100072,8.48154621576490E-04
19100006,19100073,1.20653615964738E-03
19100006,19100074,1.28102129291320E-07
19100006,19100075,0.00000000000000E+00
19100006,19100076,0.00000000000000E+00
19100006,19100077,1.11623635307580E-06
19100006,19100078,0.00000000000000E+00
19100006,19100079,7.62522519610284E-09
19100006,19100080,0.00000000000000E+00
19100006,19100081,0.00000000000000E+00
19100006,19100082,0.00000000000000E+00
19100006,19100083,1.85341848774280E-04
19100006,19100084,2.07672452053543E-05
19100006,19100085,2.48959291974997E-04
19100006,19100086,2.92304553863995E-04
19100006,19100087,2.04119602114105E-04
19100006,19100088,0.00000000000000E+00
19100006,19100089,2.50643441789883E-04
19100006,19100090,1.74416481808459E-04
19100006,19100091,2.53758871988749E-04
19100006,19100092,2.35381433646925E-04
19100006,19100093,2.76412428316692E-04
19100006,19100094,2.48574566676541E-04
19100006,19100095,3.07652490242430E-04
19100006,19100096,2.50521901781157E-04
19100006,19100097,2.18966219871589E-04
19100006,19100098,2.64235069680679E-04
19100006,19100099,2.21071826400301E-04
19100006,19100100,2.55664657885731E-04
19100006,19100101,6.90223995252035E-02
19100006,19100102,7.98717619215249E-02
19100006,19100103,2.24781672833188E-02
19100006,19100104,8.21075146218629E-04
19100006,19100105,7.36739518618521E-02
19100006,19100106,3.48672052766219E-04
19100006,19100107,6.46126335388268E-04
19100006,19100108,2.15650546914128E-04
19100006,19100109,2.48037506296676E-04
19100006,19100110,9.54995325216034E-05
19100006,19100111,6.32635003897232E-02
19100006,19100112,1.91650484748557E-02
19100006,19100113,7.12786989238700E-04
19100006,19100114,1.33529407171873E-04
19100006,19100115,1.50795172298410E-03
19100006,19100116,1.39824807839662E-04
19100007,19100001,6.21719479235682E-04
19100007,19100002,5.65199328291511E-03
19100007,19100003,6.77092084623698E-02
19100007,19100004,8.48545884390083E-04
19100007,19100005,4.37943673733452E-04
19100007,19100006,6.22090393236408E-02
19100007,19100007,3.55769602518855E-01
19100007,19100008,6.28572543127785E-02
19100007,19100009,6.61166598273989E-03
19100007,19100010,5.76382891009300E-03
19100007,19100011,6.50224219785636E-04
19100007,19100012,7.29420585770234E-03
19100007,19100013,1.07294689483349E-03
19100007,19100014,7.38133582101091E-04
19100007,19100015,7.04481059360836E-05
19100007,19100016,2.61977559560815E-04
19100007,19100017,9.00814051534623E-04
19100007,19100018,2.01354016358699E-04
19100007,19100019,8.28328070631923E-04
19100007,19100020,2.64304504770966E-04
19100007,19100021,1.89134479938268E-02
19100007,19100022,5.82531150114157E-03
19100007,19100023,7.43234292732749E-04
19100007,19100024,2.47328064573076E-04
19100007,19100025,7.58805078572780E-03
19100007,19100026,7.28520877046916E-03
19100007,19100027,3.87545403862411E-03
19100007,19100028,3.26899505522522E-04
19100007,19100029,9.54822651329600E-04
19100007,19100030,2.33351303028613E-03
19100007,19100031,2.59237825390229E-04
19100007,19100032,1.09329014076620E-03
19100007,19100033,4.67757696047138E-08
19100007,19100034,0.00000000000000E+00
19100007,19100035,4.48509243689899E-06
19100007,19100036,7.85710837685237E-06
19100007,19100037,0.00000000000000E+00
19100007,19100038,0.00000000000000E+00
19100007,19100039,2.01498035914211E-06
